idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
155,7.833333333333334,-0.4938441702975687,0.07821723252011617,-17.025,-0.24572668306932163,-1.5514572174249885,2.8333333333333335,1.5514572174249885,-0.24572668306932163,0.4722222222222222,0,70,0,0,0
156,7.883333333333333,-0.5,3.061616997868383e-16,-17.166666666666668,-9.61835346860895e-16,-1.5707963267948966,2.8333333333333335,1.5707963267948966,-9.61835346860895e-16,0.4722222222222222,0,70,0,0,0
157,7.933333333333334,-0.49384417029756883,-0.07821723252011557,-17.308333333333337,0.24572668306931975,-1.551457217424989,2.8333333333333335,1.551457217424989,0.24572668306931977,0.4722222222222222,0,70,0,0,0
158,7.983333333333334,-0.4755282581475766,-0.15450849718747425,-17.450000000000003,0.4854027596813683,-1.4939160823707773,2.8333333333333335,1.4939160823707773,0.48540275968136837,0.4722222222222222,0,70,0,0,0
159,8.033333333333333,-0.44550326209418345,-0.2269952498697743,-17.59166666666667,0.7131266093906623,-1.399589775345375,2.8333333333333335,1.399589775345375,0.7131266093906623,0.4722222222222222,0,70,0,0,0
160,8.083333333333334,-0.4045084971874739,-0.2938926261462363,-17.733333333333334,0.9232909152452274,-1.2708009230788155,2.8333333333333335,1.2708009230788155,0.9232909152452274,0.4722222222222222,0,70,0,0,0
161,8.133333333333333,-0.3535533905932737,-0.35355339059327384,-17.875,1.1107207345395917,-1.1107207345395913,2.8333333333333335,1.1107207345395913,1.1107207345395917,0.4722222222222222,0,70,0,0,0
162,8.183333333333334,-0.2938926261462361,-0.40450849718747406,-18.016666666666666,1.270800923078816,-0.923290915245227,2.8333333333333335,0.9232909152452271,1.270800923078816,0.4722222222222222,0,70,0,0,0
163,8.233333333333334,-0.2269952498697725,-0.4455032620941844,-18.158333333333335,1.3995897753453779,-0.7131266093906566,2.8333333333333335,0.7131266093906568,1.3995897753453779,0.4722222222222222,0,70,0,0,0
164,8.283333333333333,-0.15450849718747406,-0.4755282581475767,-18.3,1.493916082370778,-0.48540275968136765,2.8333333333333335,0.48540275968136765,1.4939160823707778,0.4722222222222222,0,70,0,0,0
165,8.333333333333334,-0.07821723252011531,-0.4938441702975689,-18.441666666666666,1.5514572174249892,-0.24572668306931897,2.8333333333333335,0.24572668306931897,1.5514572174249892,0.4722222222222222,0,70,0,0,0
166,8.383333333333333,-1.2212453270876722e-15,-0.5,-18.583333333333332,1.5707963267948966,-3.848313679953889e-15,2.8333333333333335,3.848313679953889e-15,1.5707963267948966,0.4722222222222222,0,70,0,0,0
167,8.433333333333334,0.07821723252011648,-0.4938441702975687,-18.725,1.5514572174249885,0.2457266830693224,2.8333333333333335,-0.24572668306932244,1.5514572174249885,0.4722222222222222,0,70,0,0,0
168,8.483333333333334,0.1545084971874734,-0.4755282581475769,-18.866666666666667,1.4939160823707782,0.48540275968136565,2.8333333333333335,-0.4854027596813657,1.4939160823707782,0.4722222222222222,0,70,0,0,0
169,8.533333333333333,0.22699524986977349,-0.4455032620941839,-19.008333333333336,1.3995897753453763,0.71312660939066,2.8333333333333335,-0.7131266093906599,1.3995897753453763,0.4722222222222222,0,70,0,0,0
170,8.583333333333334,0.293892626146237,-0.4045084971874734,-19.150000000000002,1.270800923078814,0.9232909152452299,2.8333333333333335,-0.9232909152452299,1.270800923078814,0.4722222222222222,0,70,0,0,0
171,8.633333333333333,0.3535533905932732,-0.35355339059327434,-19.291666666666668,1.1107207345395933,1.1107207345395897,2.8333333333333335,-1.1107207345395897,1.1107207345395933,0.4722222222222222,0,70,0,0,0
