idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
131,6.6,5.997039362194389,0.18846455446876975,-3,-0.1184157719562321,3.7680509607117423,0,-2.3675362433047944,-0.07440282384937259,0,0,70,0,0,0
132,6.6499999999999995,5.988160370569629,0.37674311717588027,-3,-0.23671468184205283,3.7624721257398157,0,-2.3640309579121155,-0.14873222109436768,0,0,70,0,0,0
133,6.7,5.973371787618479,0.564649879911086,-3,-0.3547799829158053,3.753180185028549,0,-2.3581926593768943,-0.22291483759380123,0,0,70,0,0,0
134,6.75,5.952688207886867,0.7519994013858255,-3,-0.4724951589795263,3.7401843086015942,0,-2.350027109394918,-0.2968774640613643,0,0,70,0,0,0
135,6.8,5.926130043570826,0.9386067902413853,-3,-0.5897440393663664,3.7234973218199743,0,-2.33954236637818,-0.3705471083143492,0,0,70,0,0,0
136,6.85,5.893723504372133,1.1242878875143478,-3,-0.7064109135870126,3.703135692724996,0,-2.3267487775021998,-0.4438510673081226,0,0,70,0,0,0
137,6.8999999999999995,5.855500571632485,1.3088594483792553,-3,-0.8223806455219714,3.6791195157862893,0,-2.311658968494609,-0.5167169988852515,0,0,70,0,0,0
138,6.95,5.8114989667717865,1.4921393229891287,-3,-0.9375387870470189,3.651472492070984,0,-2.294287831175083,-0.5890729931684799,0,0,70,0,0,0
139,7.0,5.761762114061659,1.6739466362353757,-3,-1.0517716909796804,3.620221905853621,0,-2.2746525087589147,-0.6608476435270956,0,0,70,0,0,0
140,7.05,5.706339097770922,1.8541019662496843,-3,-1.1649666232352796,3.585398597689867,0,-2.2527723789387264,-0.7319701170466526,0,0,70,0,0,0
141,7.1,5.645284613725352,2.0324275214717487,-3,-1.2770118740818714,3.547036933980612,0,-2.228669034761031,-0.8023702244325083,0,0,70,0,0,0
142,7.15,5.578658915329509,2.208747316108068,-3,-1.3877968683842556,3.505174773056477,0,-2.2023662633165,-0.8719784892781799,0,0,70,0,0,0
143,7.2,5.506527754103887,2.382887343808684,-3,-1.4972122747282914,3.4598534278162147,0,-2.173890022264977,-0.9407262166301728,0,0,70,0,0,0
144,7.25,5.428962314796117,2.554675749390436,-3,-1.6051501133177986,3.411117624955864,0,-2.1432684142184013,-1.008545560781604,0,0,70,0,0,0
145,7.3,5.346039145130208,2.7239429984372805,-3,-1.7115038625375827,3.3590154608289033,0,-2.110531659006923,-1.075369592227725,0,0,70,0,0,0
146,7.35,5.257840080263183,2.890522044610292,-3,-1.8161685640774086,3.3035983539809557,0,-2.075712063855581,-1.1411323637172621,0,0,70,0,0,0
147,7.4,5.164452162023661,3.054248494502228,-3,-1.919040926513177,3.2449209944058923,0,-2.038843991500967,-1.2057689753343894,0,0,70,0,0,0
148,7.45,5.06596755301209,3.21496076987398,-3,-2.0200194272430965,3.1830412895734086,0,-1.9999638262793604,-1.2692156385471147,0,0,70,0,0,0
