idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
361,18.05,-0.5428622897372182,3.9629913618857744,-3.5,-0.8300069699160105,-0.11369681208995853,0,0.023812604639892862,-0.1738362532744309,0,0,70,0,0,0
362,18.1,-0.5843321142496469,3.9570893318519533,-3.5,-0.8287708516363093,-0.12238223182555218,0,0.025631674695538516,-0.17357736126733236,0,0,70,0,0,0
363,18.15,-0.6257378601609234,3.950753362380551,-3.5,-0.8274438492933276,-0.13105423097030358,0,0.027447933949211047,-0.17329943454653185,0,0,70,0,0,0
364,18.200000000000003,-0.6670749868644088,3.94398414828202,-3.5,-0.8260261084078261,-0.1397118585417823,0,0.02926118322761598,-0.17300250358982616,0,0,70,0,0,0
365,18.25,-0.7083389612783328,3.936782431876968,-3.5,-0.8245177844510695,-0.1483541651335624,0,0.031071223687536446,-0.17268660095904084,0,0,70,0,0,0
366,18.3,-0.7495252583428984,3.929149002914755,-3.5,-0.8229190428277771,-0.15698020301933607,0,0.0328778568376387,-0.17235176129645924,0,0,70,0,0,0
367,18.35,-0.7906293615165056,3.921084698486887,-3.5,-0.8212300588579835,-0.1655890262568428,0,0.03468088456023898,-0.17199802132102365,0,0,70,0,0,0
368,18.4,-0.8316467632710376,3.9125904029352228,-3.5,-0.819451017757815,-0.1741796907916014,0,0.03648010913302911,-0.1716254198243087,0,0,70,0,0,0
369,18.450000000000003,-0.87257296558617,3.9036670477549897,-3.5,-0.8175821146191755,-0.18275125456043811,0,0.03827533325075937,-0.17123399766626732,0,0,70,0,0,0
370,18.5,-0.9134034804426232,3.894315611492641,-3.5,-0.8156235543883549,-0.19130277759479286,0,0.04006636004687489,-0.17082379777075007,0,0,70,0,0,0
371,18.55,-0.9541338303143236,3.8845371196385443,-3.5,-0.8135755518435538,-0.19983332212379798,0,0.041852993115104424,-0.17039486512079802,0,0,70,0,0,0
372,18.6,-0.9947595486594194,3.8743326445145243,-3.5,-0.8114383315713296,-0.20834195267711536,0,0.04363503653099853,-0.16994724675370987,0,0,70,0,0,0
373,18.65,-1.0352761804100825,3.8637033051562732,-3.5,-0.8092121279419701,-0.2168277361875211,0,0.0454122948734148,-0.1694809917558838,0,0,70,0,0,0
374,18.700000000000003,-1.0756792824610635,3.8526502671906324,-3.5,-0.8068971850837896,-0.22528974209322775,0,0.047184573245948234,-0.1689961512574345,0,0,70,0,0,0
375,18.75,-1.1159644241569158,3.8411747427077727,-3.5,-0.8044937568563602,-0.23372704243992867,0,0.04895167729830332,-0.1684927784265863,0,0,70,0,0,0
376,18.8,-1.1561271877778871,3.829277990128269,-3.5,-0.8020021068226705,-0.24213871198256245,0,0.05071341324760754,-0.16797092846384257,0,0,70,0,0,0
377,18.85,-1.1961631690243473,3.8169613140651073,-3.5,-0.7994225082202255,-0.25052382828677167,0,0.05246958789966085,-0.16743065859593245,0,0,70,0,0,0
378,18.9,-1.2360679774997894,3.8042260651806146,-3.5,-0.7967552439310815,-0.2588814718300621,0,0.05422000867012241,-0.1668720280695353,0,0,70,0,0,0
379,18.950000000000003,-1.2758372371922797,3.7910736400383427,-3.5,-0.7940006064508248,-0.26721072610263763,0,0.05596448360562938,-0.16629509814478347,0,0,70,0,0,0
380,19.0,-1.315466586954332,3.7775054809499244,-3.5,-0.7911588978564974,-0.27551067770790455,0,0.05770282140484654,-0.16569993208854464,0,0,70,0,0,0
381,19.05,-1.3549516809811664,3.763523075816902,-3.5,-0.7882304297734694,-0.28378041646263813,0,0.05943483143944507,-0.16508659516748378,0,0,70,0,0,0
382,19.1,-1.3942881892872618,3.749127957967566,-3.5,-0.7852155233412671,-0.29201903549679176,0,0.06116032377500653,-0.16445515464090596,0,0,70,0,0,0
383,19.15,-1.433471798181201,3.734321705988807,-3.5,-0.782114509178356,-0.3002256313529475,0,0.06287910919185181,-0.16380567975338067,0,0,70,0,0,0
384,19.200000000000003,-1.4724982107387117,3.7191059435530054,-3.5,-0.7789277273458839,-0.3083993040853902,0,0.0645909992057911,-0.16313824172714814,0,0,70,0,0,0
385,19.25,-1.511363147273868,3.7034823392399794,-3.5,-0.7756555273103908,-0.3165391573587954,0,0.06629580608879301,-0.1624529137543094,0,0,70,0,0,0
386,19.3,-1.5500623458084113,3.6874526063540025,-3.5,-0.7722982679054847,-0.32464429854652443,0,0.06799334288957151,-0.1617497709887995,0,0,70,0,0,0
387,19.35,-1.5885915625391234,3.671018502735924,-3.5,-0.768856317292492,-0.3327138388285094,0,0.0696834234540869,-0.16102889053814642,0,0,70,0,0,0
